initial_domain,reason
mercury-wms.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
mesc.usgs.gov,all scans failed dns resolution for 6 months in a row
microbiology.usgs.gov,all scans failed dns resolution for 6 months in a row
miforms.er.usgs.gov,all scans failed dns resolution for 6 months in a row
mine-drainage.usgs.gov,all scans failed dns resolution for 6 months in a row
modissub.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
ned.usgs.gov,all scans failed dns resolution for 6 months in a row
neptune-wms.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
nimbexa.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
nimbexb.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
nimbex.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
nsdi.usgs.gov,all scans failed dns resolution for 6 months in a row
olga.er.usgs.gov,all scans failed dns resolution for 6 months in a row
onlinepubs.er.usgs.gov,all scans failed dns resolution for 6 months in a row
owi.usgs.gov,all scans failed dns resolution for 6 months in a row
pasadena.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
pdsimage.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod01-earthquake.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod01-geomag.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod01-landslides.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod02-earthquake.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod02-geomag.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod02-landslides.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod-acquisition.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod-acquisition.resolve-eq.usgs.gov,all scans failed dns resolution for 6 months in a row
prod-earthquake.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod-geomag.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
prod-landslides.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
production-earthquake.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
qabot.usgs.gov,all scans failed dns resolution for 6 months in a row
quake.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
qwwebservices.usgs.gov,all scans failed dns resolution for 6 months in a row
rconnect.chs.usgs.gov,all scans failed dns resolution for 6 months in a row
rockyags.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
saturn-wms.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
sdms.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
search.er.usgs.gov,all scans failed dns resolution for 6 months in a row
search.usgs.gov,all scans failed dns resolution for 6 months in a row
sgst.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
sierrafire.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
soma.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
srfs.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
stratus.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
uranus-wms.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
urban.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
venus-wms.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
videoarchive.usgs.gov,all scans failed dns resolution for 6 months in a row
webvadevvs04.er.usgs.gov,all scans failed dns resolution for 6 months in a row
wildfire.cr.usgs.gov,all scans failed dns resolution for 6 months in a row
wildfire.usgs.gov,all scans failed dns resolution for 6 months in a row
wms2.wr.usgs.gov,all scans failed dns resolution for 6 months in a row
xcollaboration.usgs.gov,all scans failed dns resolution for 6 months in a row
ushouse.gov,all scans failed dns resolution for 6 months in a row
ushr.gov,all scans failed dns resolution for 6 months in a row
parkinglot.usitc.gov,all scans failed dns resolution for 6 months in a row
usitcoig.gov,all scans failed dns resolution for 6 months in a row
mobileguard.usmarshals.gov,all scans failed dns resolution for 6 months in a row
answers.usmint.gov,all scans failed dns resolution for 6 months in a row
training.usphs.gov,all scans failed dns resolution for 6 months in a row
isi.uspis.gov,all scans failed dns resolution for 6 months in a row
tst-dcmsv2.uspis.gov,all scans failed dns resolution for 6 months in a row
caps.usps.gov,all scans failed dns resolution for 6 months in a row
ce.usps.gov,all scans failed dns resolution for 6 months in a row
dbcalcea.usps.gov,all scans failed dns resolution for 6 months in a row
dbcalc.usps.gov,all scans failed dns resolution for 6 months in a row
ibcalc.usps.gov,all scans failed dns resolution for 6 months in a row
ivsapi-cat.usps.gov,all scans failed dns resolution for 6 months in a row
ivsapi.usps.gov,all scans failed dns resolution for 6 months in a row
pave-cat.usps.gov,all scans failed dns resolution for 6 months in a row
pave.usps.gov,all scans failed dns resolution for 6 months in a row
peapnvpn.usps.gov,all scans failed dns resolution for 6 months in a row
pidp-cat.usps.gov,all scans failed dns resolution for 6 months in a row
pidp.usps.gov,all scans failed dns resolution for 6 months in a row
ribbs.usps.gov,all scans failed dns resolution for 6 months in a row
ssp-cat.usps.gov,all scans failed dns resolution for 6 months in a row
tpmtrans-cat.usps.gov,all scans failed dns resolution for 6 months in a row
tpmtrans.usps.gov,all scans failed dns resolution for 6 months in a row
uspsinformeddelivery.gov,all scans failed dns resolution for 6 months in a row
uspsinnovates.gov,all scans failed dns resolution for 6 months in a row
sip.uspsoig.gov,all scans failed dns resolution for 6 months in a row
vpn1.uspsoig.gov,all scans failed dns resolution for 6 months in a row
vpn2.uspsoig.gov,all scans failed dns resolution for 6 months in a row
vpn3.uspsoig.gov,all scans failed dns resolution for 6 months in a row
wca.uspsoig.gov,all scans failed dns resolution for 6 months in a row
webvpn.uspsoig.gov,all scans failed dns resolution for 6 months in a row
acts-fqt.etc.uspto.gov,all scans failed dns resolution for 6 months in a row
acts.uspto.gov,all scans failed dns resolution for 6 months in a row
aiw1.uspto.gov,all scans failed dns resolution for 6 months in a row
aiw2.uspto.gov,all scans failed dns resolution for 6 months in a row
appft1.uspto.gov,all scans failed dns resolution for 6 months in a row
appft.uspto.gov,all scans failed dns resolution for 6 months in a row
developer-pvt.etc.uspto.gov,all scans failed dns resolution for 6 months in a row
e-foia.uspto.gov,all scans failed dns resolution for 6 months in a row
efs-my-dmz-alx1.uspto.gov,all scans failed dns resolution for 6 months in a row
efs-my-passive-fqt.etc.uspto.gov,all scans failed dns resolution for 6 months in a row
efs-my.uspto.gov,all scans failed dns resolution for 6 months in a row
epr.uspto.gov,all scans failed dns resolution for 6 months in a row
events.api-pvt.etc.uspto.gov,all scans failed dns resolution for 6 months in a row
events.api.uspto.gov,all scans failed dns resolution for 6 months in a row
foia.uspto.gov,all scans failed dns resolution for 6 months in a row
globaldossier-external-fqt.etc.uspto.gov,all scans failed dns resolution for 6 months in a row
iamint.uspto.gov,all scans failed dns resolution for 6 months in a row
iamsso.uspto.gov,all scans failed dns resolution for 6 months in a row
idm-tmng-dmz-alx1.uspto.gov,all scans failed dns resolution for 6 months in a row
internal-trademarkcenter.uspto.gov,all scans failed dns resolution for 6 months in a row
ipassessment-alx.uspto.gov,all scans failed dns resolution for 6 months in a row
ipassessment-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
ipki-alx.uspto.gov,all scans failed dns resolution for 6 months in a row
ipki-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
meetings.uspto.gov,all scans failed dns resolution for 6 months in a row
ocsp-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
opd-ui-fqt.etc.uspto.gov,all scans failed dns resolution for 6 months in a row
opd-ui.uspto.gov,all scans failed dns resolution for 6 months in a row
patentcenter-sponsorships.uspto.gov,all scans failed dns resolution for 6 months in a row
patentsgazette-alx.uspto.gov,all scans failed dns resolution for 6 months in a row
patentsgazette-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
patft1.uspto.gov,all scans failed dns resolution for 6 months in a row
patimg1.uspto.gov,all scans failed dns resolution for 6 months in a row
patimg2.uspto.gov,all scans failed dns resolution for 6 months in a row
ppair-my-dmz-alx1.uspto.gov,all scans failed dns resolution for 6 months in a row
ppair-my.uspto.gov,all scans failed dns resolution for 6 months in a row
ppair.uspto.gov,all scans failed dns resolution for 6 months in a row
ptab.uspto.gov,all scans failed dns resolution for 6 months in a row
rbac-services-dmz-alx1.uspto.gov,all scans failed dns resolution for 6 months in a row
ruam-eum-prod.uspto.gov,all scans failed dns resolution for 6 months in a row
sft-u2.uspto.gov,all scans failed dns resolution for 6 months in a row
teamportal-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
usipradmin.uspto.gov,all scans failed dns resolution for 6 months in a row
usipr.uspto.gov,all scans failed dns resolution for 6 months in a row
vpnportal-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
webmail-byr.uspto.gov,all scans failed dns resolution for 6 months in a row
einformation.usss.gov,all scans failed dns resolution for 6 months in a row
admin-intb.myhealth.va.gov,all scans failed dns resolution for 6 months in a row
admin-syst.myhealth.va.gov,all scans failed dns resolution for 6 months in a row
aide.oit.va.gov,all scans failed dns resolution for 6 months in a row
apps.aide.oit.va.gov,all scans failed dns resolution for 6 months in a row
benefits.vba.va.gov,all scans failed dns resolution for 6 months in a row
casemgmt.devprod.mbms.va.gov,all scans failed dns resolution for 6 months in a row
citrixaccesstesttoken.va.gov,all scans failed dns resolution for 6 months in a row
code.mobilehealth.va.gov,all scans failed dns resolution for 6 months in a row
communityviewer.va.gov,all scans failed dns resolution for 6 months in a row
devsfcommunities.va.gov,all scans failed dns resolution for 6 months in a row
dxp-intb.myhealth.va.gov,all scans failed dns resolution for 6 months in a row
eastlyncrp01.rtc.va.gov,all scans failed dns resolution for 6 months in a row
eastlyncrp02.rtc.va.gov,all scans failed dns resolution for 6 months in a row
eastlyncrp03.rtc.va.gov,all scans failed dns resolution for 6 months in a row
eastlyncrpowas.rtc.va.gov,all scans failed dns resolution for 6 months in a row
eastskypeaccess.rtc.va.gov,all scans failed dns resolution for 6 months in a row
etestqatic.ccra.va.gov,all scans failed dns resolution for 6 months in a row
gibill.custhelp.va.gov,all scans failed dns resolution for 6 months in a row
int.ebenefits.va.gov,all scans failed dns resolution for 6 months in a row
mass.columbus.va.gov,all scans failed dns resolution for 6 months in a row
mhvidp-sysb.myhealth.va.gov,all scans failed dns resolution for 6 months in a row
mhv-syst.myhealth.va.gov,all scans failed dns resolution for 6 months in a row
myhealthevet.custhelp.va.gov,all scans failed dns resolution for 6 months in a row
netresponse.airwatch.medtronic.va.gov,all scans failed dns resolution for 6 months in a row
north2lyncrp01.rtc.va.gov,all scans failed dns resolution for 6 months in a row
north2lyncrp02.rtc.va.gov,all scans failed dns resolution for 6 months in a row
north2lyncrp03.rtc.va.gov,all scans failed dns resolution for 6 months in a row
north2lyncrpowas.rtc.va.gov,all scans failed dns resolution for 6 months in a row
northlyncrp1.rtc.va.gov,all scans failed dns resolution for 6 months in a row
northlyncrp2.rtc.va.gov,all scans failed dns resolution for 6 months in a row
northlyncrp3.rtc.va.gov,all scans failed dns resolution for 6 months in a row
northlyncrpowas.rtc.va.gov,all scans failed dns resolution for 6 months in a row
pint.access.va.gov,all scans failed dns resolution for 6 months in a row
pint.ebenefits.va.gov,all scans failed dns resolution for 6 months in a row
pint.sep.va.gov,all scans failed dns resolution for 6 months in a row
pint.vdc.va.gov,all scans failed dns resolution for 6 months in a row
prebenefits.va.gov,all scans failed dns resolution for 6 months in a row
preview-prod.vfs.va.gov,all scans failed dns resolution for 6 months in a row
qualityandsafety.va.gov,all scans failed dns resolution for 6 months in a row
sah.vba.va.gov,all scans failed dns resolution for 6 months in a row
sandbox-developer.va.gov,all scans failed dns resolution for 6 months in a row
sip.va.gov,all scans failed dns resolution for 6 months in a row
socrr.research.va.gov,all scans failed dns resolution for 6 months in a row
